case_number,incident_datetime,incident_type,FCR,address_1,city,state,zip,created_at,updated_at,hour_of_day,day_of_week,Incident Block Location
C19046940,12/09/2019 09:02:00 AM,Other,503,1 Block AVE & YESLER WAY,SEATTLE,WA,98104,12/12/2019 06:19:00 PM,12/12/2019 08:07:00 PM,9,Monday,
C19046039,12/02/2019 06:01:00 PM,Other,162,19700 Block 635TH PL NE,BARING,WA,98224,12/05/2019 05:15:00 PM,12/05/2019 07:06:00 PM,18,Monday,
C19026684,07/14/2019 01:29:00 AM,Vehicle Recovery,311,1 Block PL S & DES MOINES MEMORIAL DR S,BURIEN,WA,98168,07/15/2019 05:45:00 AM,07/15/2019 06:09:00 PM,1,Sunday,
C19043968,11/16/2019 10:07:00 PM,Traffic,404,RAINIER AVE N & RENTON AVE S,SKYWAY,WA,98178,11/19/2019 04:30:00 PM,11/19/2019 06:16:00 PM,22,Saturday,
C19042199,11/04/2019 07:18:00 AM,Property Crime,313,1 Block PL S & DES MOINES MEMORIAL DR S,BURIEN,WA,98168,11/05/2019 04:35:00 PM,11/05/2019 06:26:00 PM,7,Monday,
C19042093,11/03/2019 10:13:00 AM,Other,162,18200 Block 190TH PL NE,WOODINVILLE,WA,98077,11/04/2019 04:55:00 PM,11/04/2019 06:48:00 PM,10,Sunday,
C19041141,10/27/2019 08:00:00 AM,Assault,112,UNKNOWN,VASHON,WA,98070,10/28/2019 04:05:00 PM,10/28/2019 05:57:00 PM,8,Sunday,
C19038087,10/04/2019 01:35:00 PM,Assault,112,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,10/07/2019 07:25:00 PM,10/07/2019 07:37:00 PM,13,Friday,
C19036914,09/25/2019 12:00:00 AM,Other,377,26800 Block 94TH PL S,KENT,WA,98030,09/26/2019 08:06:00 PM,09/26/2019 09:57:00 PM,0,Wednesday,POINT (-122.215399 47.36124)
C19038992,10/11/2019 09:15:00 AM,Property Crime,182,16600 Block ISSAQUAH,ISSAQUAH,WA,,10/14/2019 05:15:00 PM,10/14/2019 07:07:00 PM,9,Friday,
C19003278,01/23/2019 07:30:00 PM,Assault,101,1 Block AVE S & S JACKSON ST,SEATTLE,WA,98104,01/30/2019 05:48:00 PM,02/21/2019 02:31:00 AM,19,Wednesday,
C19035892,09/18/2019 02:18:00 PM,Other,234,26500 Block 320TH AVE SE,ENUMCLAW,WA,98022,12/12/2019 07:36:00 PM,12/12/2019 09:26:00 PM,14,Wednesday,
C19034987,09/11/2019 06:30:00 PM,Death,222,4200 Block TOKUL RD SE,SNOQUALMIE,WA,98065,09/12/2019 10:19:00 PM,09/20/2019 06:05:00 PM,18,Wednesday,
C19033041,08/28/2019 06:40:00 PM,Drugs,200,1 Block AVE & YESLER WAY,SEATTLE,WA,98104,09/12/2019 05:36:00 PM,09/12/2019 07:27:00 PM,18,Wednesday,
C19032341,08/23/2019 10:40:00 AM,Traffic,403,WAY,ENUMCLAW,WA,98022,09/05/2019 09:25:00 PM,09/05/2019 11:17:00 PM,10,Friday,
C19031843,08/20/2019 01:35:00 PM,Other,510,NORTH END FERRY DOCK,VASHON,WA,98070,08/21/2019 12:36:00 PM,08/21/2019 05:18:00 PM,13,Tuesday,
